timestamp,keypresses,mousemoves,leftclicks,rightclicks,middleclicks
1723920621,758,25.47,78,1,0
1723841280,0,0.00,0,0,0
1723841881,543,32.92,81,0,0
1723842481,1069,28.61,54,1,0
1723843081,497,41.18,82,2,0
1723843681,452,27.87,73,0,0
1723844281,0,0.00,0,0,0
1723844881,0,0.00,0,0,0
1723845482,0,0.00,0,0,0
1723846082,0,0.00,0,0,0
1723846682,0,0.00,0,0,0
1723847282,0,0.00,0,0,0
1723847882,0,0.00,0,0,0
1723848482,0,0.00,0,0,0
1723849084,0,0.00,0,0,0
1723849684,0,0.00,0,0,0
1723850284,0,0.00,0,0,0
1723850884,0,0.00,0,0,0
1723851484,0,0.00,0,0,0
1723852084,0,0.00,0,0,0
1723852685,0,0.00,0,0,0
1723853285,0,0.00,0,0,0
1723853885,0,0.00,0,0,0
1723854485,0,0.00,0,0,0
1723855085,0,0.00,0,0,0
1723855685,0,0.00,0,0,0
1723856286,0,0.00,0,0,0
1723856886,0,0.00,0,0,0
1723857486,0,0.00,0,0,0
1723858086,0,0.00,0,0,0
1723858686,0,0.00,0,0,0
1723859286,0,0.00,0,0,0
1723859887,0,0.00,0,0,0
1723860487,0,0.00,0,0,0
1723861087,0,0.00,0,0,0
1723861687,0,0.00,0,0,0
1723862287,0,0.00,0,0,0
1723862887,0,0.00,0,0,0
1723863488,0,0.00,0,0,0
1723864088,0,0.00,0,0,0
1723864688,0,0.00,0,0,0
1723865288,0,0.00,0,0,0
1723865888,0,0.00,0,0,0
1723866488,0,0.00,0,0,0
1723867088,0,0.00,0,0,0
1723867688,0,0.00,0,0,0
1723868288,0,0.00,0,0,0
1723868888,0,0.00,0,0,0
1723869488,0,0.00,0,0,0
1723870088,0,0.00,0,0,0
1723870689,0,0.00,0,0,0
1723871289,0,0.00,0,0,0
1723871889,0,0.00,0,0,0
1723872489,0,0.00,0,0,0
1723873089,0,0.00,0,0,0
1723873689,0,0.00,0,0,0
1723874290,0,0.00,0,0,0
1723874890,0,0.00,0,0,0
1723875490,0,0.00,0,0,0
1723876090,0,0.00,0,0,0
1723876690,0,0.00,0,0,0
1723877290,0,0.00,0,0,0
1723877891,0,0.00,0,0,0
1723878491,0,0.00,0,0,0
1723879091,0,0.00,0,0,0
1723879691,0,0.00,0,0,0
1723880291,0,0.00,0,0,0
1723880891,0,0.00,0,0,0
1723881492,0,0.00,0,0,0
1723882092,0,0.00,0,0,0
1723882692,0,0.00,0,0,0
1723883292,0,0.00,0,0,0
1723883892,0,0.00,0,0,0
1723884492,0,0.00,0,0,0
1723885093,0,0.00,0,0,0
1723885693,0,0.00,0,0,0
1723886293,0,0.00,0,0,0
1723886893,0,0.00,0,0,0
1723887493,0,0.00,0,0,0
1723888093,0,0.00,0,0,0
1723888694,0,0.00,0,0,0
1723889294,0,0.00,0,0,0
1723889894,0,0.00,0,0,0
1723890494,0,0.00,0,0,0
1723891094,0,0.00,0,0,0
1723891694,0,0.00,0,0,0
1723892295,0,0.00,0,0,0
1723892895,0,0.00,0,0,0
1723893495,0,0.00,0,0,0
1723894095,0,0.00,0,0,0
1723894695,0,0.00,0,0,0
1723895295,0,0.00,0,0,0
1723895896,0,0.00,0,0,0
1723896496,0,0.00,0,0,0
1723897096,0,0.00,0,0,0
1723897696,0,0.00,0,0,0
1723898296,0,0.00,0,0,0
1723898896,0,0.00,0,0,0
1723899496,0,0.00,0,0,0
1723900096,0,0.00,0,0,0
1723900696,0,0.00,0,0,0
1723901296,0,0.00,0,0,0
1723901896,0,0.00,0,0,0
1723902496,0,0.00,0,0,0
1723903097,0,0.00,0,0,0
1723903697,0,0.00,0,0,0
1723904297,0,0.00,0,0,0
1723904897,0,0.00,0,0,0
1723905497,0,0.00,0,0,0
1723906097,0,0.00,0,0,0
1723906698,26,8.62,20,0,0
1723907298,328,38.92,176,1,0
1723907898,765,41.72,84,3,0
1723908498,219,41.99,106,2,0
1723909098,24,10.84,39,2,0
1723909698,217,26.77,89,1,0
1723910299,0,0.00,0,0,0
1723910899,0,0.00,0,0,0
1723911499,0,0.00,0,0,0
1723912099,0,0.00,0,0,0
1723912699,0,0.00,0,0,0
1723913299,0,0.00,0,0,0
1723913900,167,25.08,81,1,0
1723914500,327,37.60,110,8,0
1723915100,336,31.71,141,9,0
1723915700,389,33.71,139,15,0
1723916300,313,36.06,106,9,0
1723916900,159,35.10,107,7,0
1723918821,471,35.22,124,9,0
1723919421,492,34.10,134,7,0
1723920021,622,31.99,104,1,0
cumulative, 8174, 625.49 meters, 1928, 79, 0
